,load,type,compressor,iteration,avg_time,std_dev,min_time,max_time,q1,median_time,q3,iqr,lower_whisker,upper_whisker,num_outliers
0,IRIS-HABER,API,BZ2,1,0.321977138519287,0.0,0.321977138519287,0.321977138519287,0.321977138519287,0.321977138519287,0.321977138519287,0.0,0.321977138519287,0.321977138519287,0.0
1,IRIS-HABER,API,ENTROPY,1,0.303632736206054,0.0,0.303632736206054,0.303632736206054,0.303632736206054,0.303632736206054,0.303632736206054,0.0,0.303632736206054,0.303632736206054,0.0
2,IRIS-HABER,API,GZIP,6,1.829784393310546,0.0,1.829784393310546,1.829784393310546,1.829784393310546,1.829784393310546,1.829784393310546,0.0,1.829784393310546,1.829784393310546,0.0
3,IRIS-HABER,API,JP2,1,0.9363083839416501,0.0,0.9363083839416501,0.9363083839416501,0.9363083839416501,0.9363083839416501,0.9363083839416501,0.0,0.9363083839416501,0.9363083839416501,0.0
4,IRIS-HABER,API,PNG,4,1.404592037200927,0.0,1.404592037200927,1.404592037200927,1.404592037200927,1.404592037200927,1.404592037200927,0.0,1.404592037200927,1.404592037200927,0.0
5,IRIS-HABER,API,PPMD,1,0.35503745079040505,0.0,0.35503745079040505,0.35503745079040505,0.35503745079040505,0.35503745079040505,0.35503745079040505,0.0,0.35503745079040505,0.35503745079040505,0.0
6,IRIS-HABER,API,WEBP,9,5.399638891220093,0.0,5.399638891220093,5.399638891220093,5.399638891220093,5.399638891220093,5.399638891220093,0.0,5.399638891220093,5.399638891220093,0.0
7,IRIS-HABER,API,ZLIB,10,1.503642559051513,0.0,1.503642559051513,1.503642559051513,1.503642559051513,1.503642559051513,1.503642559051513,0.0,1.503642559051513,1.503642559051513,0.0
8,IRIS-HABER,LOGIC,BZ2,10,1.417729377746582,0.0,1.417729377746582,1.417729377746582,1.417729377746582,1.417729377746582,1.417729377746582,0.0,1.417729377746582,1.417729377746582,0.0
9,IRIS-HABER,LOGIC,ENTROPY,-1,4.658838510513306,0.0,4.658838510513306,4.658838510513306,4.658838510513306,4.658838510513306,4.658838510513306,0.0,4.658838510513306,4.658838510513306,0.0
10,IRIS-HABER,LOGIC,GZIP,1,0.489205837249755,0.0,0.489205837249755,0.489205837249755,0.489205837249755,0.489205837249755,0.489205837249755,0.0,0.489205837249755,0.489205837249755,0.0
11,IRIS-HABER,LOGIC,JP2,6,2.852033138275146,0.0,2.852033138275146,2.852033138275146,2.852033138275146,2.852033138275146,2.852033138275146,0.0,2.852033138275146,2.852033138275146,0.0
12,IRIS-HABER,LOGIC,PNG,13,4.356812953948975,0.0,4.356812953948975,4.356812953948975,4.356812953948975,4.356812953948975,4.356812953948975,0.0,4.356812953948975,4.356812953948975,0.0
